id,ror_display,acronym,alias,label,country_name,created,last_modified
https://ror.org/03dgrff29,Instituto Tecnológico Superior de Loreto,,"es: ITS Loreto, TecNM Campus Loreto, Tecnológico Nacional de México Campus Loreto",es: Instituto Tecnológico Superior de Loreto,Mexico,7/27/2024,8/21/2024
https://ror.org/01ktn5v16,Al-Rayan University,,,en: Al-Rayan University; ar: لجامعة الريان,Yemen,7/27/2024,8/21/2024
https://ror.org/05w9qrp28,"Modélisation, information et systèmes",fr: MIS,,"fr: Modélisation, information et systèmes",France,7/24/2024,8/21/2024
https://ror.org/01nq33970,Instituto Tecnológico Superior Zacatecas Norte,es: ITSZN,"es: ITS Zacatecas Norte, TecNM Campus Zacatecas Norte, TecNM Zacatecas Norte, Tecnológico Nacional de México Campus Zacatecas Norte, Tecnológico Nacional de México de Zacatecas Norte",es: Instituto Tecnológico Superior Zacatecas Norte,Mexico,7/24/2024,8/21/2024
https://ror.org/008n78156,Laboratoire de neurosciences fonctionnelles et pathologies,fr: LNFP,,fr: Laboratoire de neurosciences fonctionnelles et pathologies,France,7/24/2024,8/21/2024
https://ror.org/03jt9em80,Centre de recherches en arts et esthétique,fr: CRAE,,fr: Centre de recherches en arts et esthétique,France,7/24/2024,8/21/2024
https://ror.org/00hjhrf26,"European Research University, z.ú",en: ERUNI,en: European Research University; cs: Vysoká škola PRIGO,"en: European Research University, z.ú; cs: Evropská výzkumná univerzita, z.ú., Vysoká škola PRIGO, z. ú.",Czechia,5/27/2024,8/21/2024
https://ror.org/00dv28z40,Nobel International Business School,en: NiBS,,en: Nobel International Business School,Ghana,4/30/2024,8/21/2024
https://ror.org/04w0a0617,Instituto Tecnológico de San Luis Potosí,no_lang_code: ITSLP,es: TecNM campus San Luis Potosí,es: Instituto Tecnológico de San Luis Potosí,Mexico,3/13/2024,8/21/2024
https://ror.org/01qwmf693,Harris (United States),,"no_lang_code: Harris, Harris Corporation",no_lang_code: Harris (United States),United States,11/8/2023,8/21/2024
https://ror.org/00sw6rd76,Bilad Alrafidain University College,no_lang_code: BAUC,no_lang_code: Bilad Alrafidain University,no_lang_code: Bilad Alrafidain University College; ar: كلية بلاد الرافدين الجامعة,Iraq,8/17/2023,8/21/2024
https://ror.org/0460tzy11,Instituto Tecnológico de La Paz,no_lang_code: ITLP,"es: TecNM - Instituto Tecnológico de La Paz, Tecnológico Nacional de México - Instituto Tecnológico de La Paz",es: Instituto Tecnológico de La Paz,Mexico,7/6/2023,8/21/2024
https://ror.org/05p299b07,Instituto Tecnológico Superior de Los Reyes,no_lang_code: ITSLR,,es: Instituto Tecnológico Superior de Los Reyes,Mexico,1/26/2023,8/21/2024
https://ror.org/0302jbz39,Instituto Tecnológico de Boca del Río,,,es: Instituto Tecnológico de Boca del Río,Mexico,1/26/2023,8/21/2024
https://ror.org/04r3s7465,McMurdo Dry Valleys Long Term Ecological Research,"no_lang_code: MCM, MCM LTER",en: McMurdo Dry Valleys LTER,en: McMurdo Dry Valleys Long Term Ecological Research,Antarctica,6/16/2022,8/21/2024
https://ror.org/02q7mkh03,Inter-university Consortium for Political and Social Research,no_lang_code: ICPSR,,en: Inter-university Consortium for Political and Social Research,United States,3/17/2022,8/21/2024
https://ror.org/02zj7b759,Australian Plant Phenomics Network,"en: APPF, APPN",en: Australian Plant Phenomics Facility,en: Australian Plant Phenomics Network,Australia,3/17/2022,8/21/2024
https://ror.org/05v1amx46,Hennepin Healthcare Research Institute,no_lang_code: HHRI,,en: Hennepin Healthcare Research Institute,United States,9/23/2021,8/21/2024
https://ror.org/01s0v4q65,Governmental Agency for IT Development,no_lang_code: KIFU,en: Governmental Information Technology Development Agency,en: Governmental Agency for IT Development,Hungary,12/21/2020,8/21/2024
https://ror.org/042tfbd02,Institut Polytechnique de Paris,,fr: IP Paris,fr: Institut Polytechnique de Paris,France,12/21/2020,8/21/2024
https://ror.org/039t4wk02,L3S Research Center,,,de: Forschungszentrum L3S; en: L3S Research Center,Germany,7/6/2020,8/21/2024
https://ror.org/048d5b075,Daimler Center for Automotive Information Technology Innovations,no_lang_code: DCAITI,,en: Daimler Center for Automotive Information Technology Innovations,Germany,7/6/2020,8/21/2024
https://ror.org/05p30rt34,SGS (Switzerland),,no_lang_code: General Society of Surveillance,no_lang_code: SGS (Switzerland); fr: Société Générale de Surveillance,Switzerland,12/18/2019,8/21/2024
https://ror.org/00ac5t267,Daimler (United Kingdom),,"no_lang_code: Daimler-Benz, DaimlerChrysler",no_lang_code: Daimler (United Kingdom),United Kingdom,5/6/2019,8/21/2024
https://ror.org/05jt6pc28,Somerset Partnership NHS Foundation Trust,,,en: Somerset Partnership NHS Foundation Trust,United Kingdom,2/17/2019,8/21/2024
https://ror.org/01gdw7p94,The Royal Photographic Society,no_lang_code: RPS,"en: The Photographic Society of London, The Royal Photographic Society of Great Britain",en: The Royal Photographic Society,United Kingdom,2/17/2019,8/21/2024
https://ror.org/02banhz78,"Diversité, adaptation et développement des plantes","no_lang_code: DIADE, UMR DIADE",,"en: Diversity-Adaptation-Development of Plants; fr: Diversité, adaptation et développement des plantes",France,2/17/2019,8/21/2024
https://ror.org/03a1kwz48,University of Tübingen,,"en: Eberhard Karls University, Tübingen",de: Eberhard Karls Universität Tübingen; en: University of Tübingen,Germany,11/14/2018,8/21/2024
https://ror.org/00fbnyb24,University of Würzburg,,en: Julius Maximilian University of Würzburg,de: Julius-Maximilians-Universität Würzburg; en: University of Würzburg,Germany,11/14/2018,8/21/2024
https://ror.org/03pvr2g57,Universitätsklinikum Würzburg,no_lang_code: UKW,"de: Universitaetsklinikum Wuerzburg - Klinikum Der Bayerischen Julius-Maximilians-Universitat; en: University Hospital Würzburg, University Hospital of Wuerzburg",de: Universitätsklinikum Würzburg,Germany,11/14/2018,8/21/2024
